Training Start: 2026-01-26 01:04:45.406812
Config: Epochs=60, BatchSize=4, LR=1e-05
----------------------------------------------------------------------------------------------------
[Epoch 0] AvgL: 7.98669 | AvgT: 0.70997 | AvgR: 0.01205 | WLoss: 0.6208439 | Lm: 2.91e-03 | LR: 0.0000100
[Epoch 16] AvgL: 5.93153 | AvgT: 0.28705 | AvgR: 0.01114 | WLoss: 2.3882139 | Lm: 1.75e-03 | LR: 0.0000050
[Epoch 17] AvgL: 5.94779 | AvgT: 0.28982 | AvgR: 0.01123 | WLoss: 2.2618823 | Lm: 1.56e-03 | LR: 0.0000050
[Epoch 18] AvgL: 6.95566 | AvgT: 0.29379 | AvgR: 0.01512 | WLoss: 0.3161446 | Lm: 1.66e-03 | LR: 0.0000050
[Epoch 19] AvgL: 6.44321 | AvgT: 0.28819 | AvgR: 0.01333 | WLoss: 2.7177486 | Lm: 1.62e-03 | LR: 0.0000050
[Epoch 20] AvgL: 5.66969 | AvgT: 0.28556 | AvgR: 0.01042 | WLoss: 2.8454924 | Lm: 1.48e-03 | LR: 0.0000050
[Epoch 21] AvgL: 6.24974 | AvgT: 0.28836 | AvgR: 0.01249 | WLoss: 1.7306483 | Lm: 1.36e-03 | LR: 0.0000050
[Epoch 22] AvgL: 7.20776 | AvgT: 0.29473 | AvgR: 0.01611 | WLoss: 2.3619516 | Lm: 1.43e-03 | LR: 0.0000050
[Epoch 23] AvgL: 6.74318 | AvgT: 0.29485 | AvgR: 0.01433 | WLoss: 2.1274326 | Lm: 1.42e-03 | LR: 0.0000050
[Epoch 24] AvgL: 6.91565 | AvgT: 0.28896 | AvgR: 0.01533 | WLoss: 1.5185486 | Lm: 1.48e-03 | LR: 0.0000050
[Epoch 25] AvgL: 7.47036 | AvgT: 0.30318 | AvgR: 0.01690 | WLoss: 1.8457613 | Lm: 1.57e-03 | LR: 0.0000050
[Epoch 26] AvgL: 6.26172 | AvgT: 0.29299 | AvgR: 0.01279 | WLoss: 2.1784687 | Lm: 1.56e-03 | LR: 0.0000050
[Epoch 27] AvgL: 6.08197 | AvgT: 0.28726 | AvgR: 0.01229 | WLoss: 1.7413867 | Lm: 1.60e-03 | LR: 0.0000050
[Epoch 28] AvgL: 6.09051 | AvgT: 0.28912 | AvgR: 0.01224 | WLoss: 2.6062796 | Lm: 1.60e-03 | LR: 0.0000050
[Epoch 29] AvgL: 5.92314 | AvgT: 0.28825 | AvgR: 0.01155 | WLoss: 1.4560459 | Lm: 1.62e-03 | LR: 0.0000025
[Epoch 30] AvgL: 5.98335 | AvgT: 0.28824 | AvgR: 0.01188 | WLoss: 2.4107056 | Lm: 1.59e-03 | LR: 0.0000025
[Epoch 31] AvgL: 5.60728 | AvgT: 0.28162 | AvgR: 0.01030 | WLoss: 2.7702363 | Lm: 1.52e-03 | LR: 0.0000025
[Epoch 32] AvgL: 5.42986 | AvgT: 0.27827 | AvgR: 0.00959 | WLoss: 2.7705569 | Lm: 1.46e-03 | LR: 0.0000025
[Epoch 33] AvgL: 5.40828 | AvgT: 0.27795 | AvgR: 0.00956 | WLoss: 2.4903705 | Lm: 1.40e-03 | LR: 0.0000025
[Epoch 34] AvgL: 5.36618 | AvgT: 0.27502 | AvgR: 0.00954 | WLoss: 2.7362683 | Lm: 1.32e-03 | LR: 0.0000025
[Epoch 35] AvgL: 5.35612 | AvgT: 0.27223 | AvgR: 0.00943 | WLoss: 2.7666812 | Lm: 1.24e-03 | LR: 0.0000025
[Epoch 36] AvgL: 5.24311 | AvgT: 0.27084 | AvgR: 0.00911 | WLoss: 2.7302654 | Lm: 1.18e-03 | LR: 0.0000025
[Epoch 37] AvgL: 5.60726 | AvgT: 0.27684 | AvgR: 0.01043 | WLoss: 2.6395550 | Lm: 1.12e-03 | LR: 0.0000025
[Epoch 38] AvgL: 5.59432 | AvgT: 0.27562 | AvgR: 0.01048 | WLoss: 2.5237393 | Lm: 1.08e-03 | LR: 0.0000025
[Epoch 39] AvgL: 6.08951 | AvgT: 0.28392 | AvgR: 0.01236 | WLoss: 2.2014086 | Lm: 1.06e-03 | LR: 0.0000025
[Epoch 40] AvgL: 5.60317 | AvgT: 0.27867 | AvgR: 0.01048 | WLoss: 2.0896909 | Lm: 1.02e-03 | LR: 0.0000025
[Epoch 41] AvgL: 5.39970 | AvgT: 0.27589 | AvgR: 0.00985 | WLoss: 1.9264188 | Lm: 9.93e-04 | LR: 0.0000025
[Epoch 42] AvgL: 5.23154 | AvgT: 0.27159 | AvgR: 0.00919 | WLoss: 2.7229996 | Lm: 9.79e-04 | LR: 0.0000025
[Epoch 43] AvgL: 5.13190 | AvgT: 0.27110 | AvgR: 0.00884 | WLoss: 2.4191628 | Lm: 9.56e-04 | LR: 0.0000025
[Epoch 44] AvgL: 5.33236 | AvgT: 0.27409 | AvgR: 0.00955 | WLoss: 2.4963629 | Lm: 9.30e-04 | LR: 0.0000013
[Epoch 45] AvgL: 5.41266 | AvgT: 0.27024 | AvgR: 0.01007 | WLoss: 2.4549043 | Lm: 9.24e-04 | LR: 0.0000013
[Epoch 46] AvgL: 5.46312 | AvgT: 0.27251 | AvgR: 0.01031 | WLoss: 2.3771029 | Lm: 9.12e-04 | LR: 0.0000013
[Epoch 47] AvgL: 5.32689 | AvgT: 0.27022 | AvgR: 0.00965 | WLoss: 2.9415598 | Lm: 9.05e-04 | LR: 0.0000013
[Epoch 48] AvgL: 5.30410 | AvgT: 0.27386 | AvgR: 0.00957 | WLoss: 2.2404239 | Lm: 9.00e-04 | LR: 0.0000013
[Epoch 49] AvgL: 5.16139 | AvgT: 0.26867 | AvgR: 0.00920 | WLoss: 2.9079061 | Lm: 8.99e-04 | LR: 0.0000013
[Epoch 50] AvgL: 5.08140 | AvgT: 0.26945 | AvgR: 0.00881 | WLoss: 2.6693175 | Lm: 8.84e-04 | LR: 0.0000013
[Epoch 51] AvgL: 5.15635 | AvgT: 0.26674 | AvgR: 0.00929 | WLoss: 2.7561064 | Lm: 8.66e-04 | LR: 0.0000013
[Epoch 52] AvgL: 5.11146 | AvgT: 0.26790 | AvgR: 0.00897 | WLoss: 2.9484949 | Lm: 8.51e-04 | LR: 0.0000013
[Epoch 53] AvgL: 5.03059 | AvgT: 0.26920 | AvgR: 0.00860 | WLoss: 2.8126750 | Lm: 8.31e-04 | LR: 0.0000013
[Epoch 54] AvgL: 5.08823 | AvgT: 0.26796 | AvgR: 0.00890 | WLoss: 2.5462794 | Lm: 8.15e-04 | LR: 0.0000013
[Epoch 55] AvgL: 5.37652 | AvgT: 0.26891 | AvgR: 0.01003 | WLoss: 2.6867824 | Lm: 8.04e-04 | LR: 0.0000013
[Epoch 56] AvgL: 5.07075 | AvgT: 0.26864 | AvgR: 0.00886 | WLoss: 2.8203771 | Lm: 7.88e-04 | LR: 0.0000013
[Epoch 57] AvgL: 5.05811 | AvgT: 0.26899 | AvgR: 0.00871 | WLoss: 2.8695419 | Lm: 7.73e-04 | LR: 0.0000013
[Epoch 58] AvgL: 5.12702 | AvgT: 0.26805 | AvgR: 0.00900 | WLoss: 2.7291870 | Lm: 7.54e-04 | LR: 0.0000013
[Epoch 59] AvgL: 5.23112 | AvgT: 0.27002 | AvgR: 0.00945 | WLoss: 2.4904213 | Lm: 7.45e-04 | LR: 0.0000013
Training Finished: 2026-01-26 06:25:34.553062
