Training Start: 2026-01-26 13:37:23.902411
Config: Epochs=60, BatchSize=4, LR=1e-05
----------------------------------------------------------------------------------------------------
[Epoch 0] AvgL: 8.00584 | AvgT: 0.71516 | AvgR: 0.01205 | WLoss: 0.7459071 | Lm: 2.67e-03 | LR: 0.0000100
[Epoch 18] AvgL: 5.65376 | AvgT: 0.27683 | AvgR: 0.01043 | WLoss: 2.2858996 | Lm: 2.34e-03 | LR: 0.0000050
[Epoch 19] AvgL: 5.70167 | AvgT: 0.27875 | AvgR: 0.01078 | WLoss: 2.3391263 | Lm: 2.26e-03 | LR: 0.0000050
[Epoch 20] AvgL: 5.49285 | AvgT: 0.27896 | AvgR: 0.00997 | WLoss: 1.6905142 | Lm: 2.23e-03 | LR: 0.0000050
[Epoch 21] AvgL: 5.72910 | AvgT: 0.27990 | AvgR: 0.01083 | WLoss: 1.0457340 | Lm: 2.17e-03 | LR: 0.0000050
[Epoch 22] AvgL: 7.27294 | AvgT: 0.29106 | AvgR: 0.01684 | WLoss: 1.6002591 | Lm: 2.32e-03 | LR: 0.0000050
[Epoch 23] AvgL: 7.08515 | AvgT: 0.28770 | AvgR: 0.01585 | WLoss: 1.9291881 | Lm: 2.59e-03 | LR: 0.0000050
[Epoch 24] AvgL: 5.89960 | AvgT: 0.27630 | AvgR: 0.01174 | WLoss: 1.4118869 | Lm: 2.60e-03 | LR: 0.0000050
[Epoch 25] AvgL: 5.53713 | AvgT: 0.27910 | AvgR: 0.01039 | WLoss: 1.8034641 | Lm: 2.67e-03 | LR: 0.0000050
[Epoch 26] AvgL: 5.37399 | AvgT: 0.27639 | AvgR: 0.00969 | WLoss: 2.4188833 | Lm: 2.63e-03 | LR: 0.0000050
[Epoch 27] AvgL: 5.39946 | AvgT: 0.27639 | AvgR: 0.00985 | WLoss: 2.2129366 | Lm: 2.45e-03 | LR: 0.0000050
[Epoch 28] AvgL: 5.45450 | AvgT: 0.27622 | AvgR: 0.01002 | WLoss: 2.4193449 | Lm: 2.28e-03 | LR: 0.0000050
[Epoch 29] AvgL: 5.48516 | AvgT: 0.27752 | AvgR: 0.01008 | WLoss: 2.4804962 | Lm: 2.11e-03 | LR: 0.0000025
[Epoch 30] AvgL: 5.16105 | AvgT: 0.27576 | AvgR: 0.00889 | WLoss: 2.6379874 | Lm: 2.00e-03 | LR: 0.0000025
[Epoch 31] AvgL: 5.76311 | AvgT: 0.27679 | AvgR: 0.01130 | WLoss: 1.9051635 | Lm: 1.92e-03 | LR: 0.0000025
[Epoch 32] AvgL: 5.69971 | AvgT: 0.27330 | AvgR: 0.01120 | WLoss: 1.9088753 | Lm: 1.89e-03 | LR: 0.0000025
[Epoch 33] AvgL: 5.48492 | AvgT: 0.27398 | AvgR: 0.01044 | WLoss: 1.9486136 | Lm: 1.83e-03 | LR: 0.0000025
[Epoch 34] AvgL: 5.53271 | AvgT: 0.27331 | AvgR: 0.01070 | WLoss: 2.5457709 | Lm: 1.81e-03 | LR: 0.0000025
[Epoch 35] AvgL: 5.13415 | AvgT: 0.26743 | AvgR: 0.00892 | WLoss: 2.1110234 | Lm: 1.75e-03 | LR: 0.0000025
[Epoch 36] AvgL: 5.30846 | AvgT: 0.26968 | AvgR: 0.00976 | WLoss: 1.4933013 | Lm: 1.73e-03 | LR: 0.0000025
[Epoch 37] AvgL: 5.93529 | AvgT: 0.27782 | AvgR: 0.01217 | WLoss: 2.7093532 | Lm: 1.77e-03 | LR: 0.0000025
[Epoch 38] AvgL: 5.45583 | AvgT: 0.27492 | AvgR: 0.01033 | WLoss: 2.0859568 | Lm: 1.72e-03 | LR: 0.0000025
[Epoch 39] AvgL: 5.52771 | AvgT: 0.27703 | AvgR: 0.01058 | WLoss: 2.6080503 | Lm: 1.68e-03 | LR: 0.0000025
[Epoch 40] AvgL: 5.47637 | AvgT: 0.27602 | AvgR: 0.01033 | WLoss: 2.1914978 | Lm: 1.64e-03 | LR: 0.0000025
[Epoch 41] AvgL: 5.67708 | AvgT: 0.27649 | AvgR: 0.01127 | WLoss: 1.6233256 | Lm: 1.64e-03 | LR: 0.0000025
[Epoch 42] AvgL: 5.76521 | AvgT: 0.27693 | AvgR: 0.01157 | WLoss: 2.4827535 | Lm: 1.64e-03 | LR: 0.0000025
[Epoch 43] AvgL: 5.57427 | AvgT: 0.27685 | AvgR: 0.01077 | WLoss: 2.7288435 | Lm: 1.61e-03 | LR: 0.0000025
[Epoch 44] AvgL: 5.15194 | AvgT: 0.27384 | AvgR: 0.00897 | WLoss: 2.9526432 | Lm: 1.58e-03 | LR: 0.0000013
[Epoch 45] AvgL: 4.90568 | AvgT: 0.26587 | AvgR: 0.00826 | WLoss: 2.8112335 | Lm: 1.53e-03 | LR: 0.0000013
[Epoch 46] AvgL: 5.02814 | AvgT: 0.26692 | AvgR: 0.00888 | WLoss: 2.3224993 | Lm: 1.50e-03 | LR: 0.0000013
[Epoch 47] AvgL: 5.33289 | AvgT: 0.26820 | AvgR: 0.00996 | WLoss: 2.6060002 | Lm: 1.48e-03 | LR: 0.0000013
[Epoch 48] AvgL: 5.34140 | AvgT: 0.27262 | AvgR: 0.00996 | WLoss: 2.7138100 | Lm: 1.44e-03 | LR: 0.0000013
[Epoch 49] AvgL: 4.96819 | AvgT: 0.26575 | AvgR: 0.00861 | WLoss: 2.6915722 | Lm: 1.42e-03 | LR: 0.0000013
[Epoch 50] AvgL: 5.06136 | AvgT: 0.26949 | AvgR: 0.00890 | WLoss: 2.6432147 | Lm: 1.39e-03 | LR: 0.0000013
[Epoch 51] AvgL: 4.99929 | AvgT: 0.26386 | AvgR: 0.00882 | WLoss: 2.6997442 | Lm: 1.37e-03 | LR: 0.0000013
[Epoch 52] AvgL: 4.97552 | AvgT: 0.26728 | AvgR: 0.00866 | WLoss: 2.8830380 | Lm: 1.34e-03 | LR: 0.0000013
[Epoch 53] AvgL: 4.95537 | AvgT: 0.26875 | AvgR: 0.00850 | WLoss: 2.7816045 | Lm: 1.32e-03 | LR: 0.0000013
[Epoch 54] AvgL: 4.89302 | AvgT: 0.26590 | AvgR: 0.00829 | WLoss: 2.6304910 | Lm: 1.31e-03 | LR: 0.0000013
[Epoch 55] AvgL: 4.98368 | AvgT: 0.26531 | AvgR: 0.00860 | WLoss: 2.8378253 | Lm: 1.30e-03 | LR: 0.0000013
[Epoch 56] AvgL: 5.01842 | AvgT: 0.26667 | AvgR: 0.00879 | WLoss: 2.4900308 | Lm: 1.28e-03 | LR: 0.0000013
[Epoch 57] AvgL: 5.18054 | AvgT: 0.26831 | AvgR: 0.00942 | WLoss: 2.7138355 | Lm: 1.27e-03 | LR: 0.0000013
[Epoch 58] AvgL: 5.13493 | AvgT: 0.26632 | AvgR: 0.00928 | WLoss: 2.5533147 | Lm: 1.27e-03 | LR: 0.0000013
[Epoch 59] AvgL: 4.92901 | AvgT: 0.26488 | AvgR: 0.00851 | WLoss: 2.7683063 | Lm: 1.28e-03 | LR: 0.0000013
Training Finished: 2026-01-26 19:02:04.920639
